LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,Yellow
2,Queens,Jamaica Bay,Yellow
3,Bronx,Allerton/Pelham Gardens,Yellow
4,Manhattan,Alphabet City,Yellow
5,Staten Island,Arden Heights,Yellow
6,Staten Island,Arrochar/Fort Wadsworth,Yellow
7,Queens,Astoria,Yellow
8,Queens,Astoria Park,Yellow
9,Queens,Auburndale,Yellow
10,Queens,Baisley Park,Yellow
11,Brooklyn,Bath Beach,Yellow
12,Manhattan,Battery Park,Yellow
13,Manhattan,Battery Park City,Yellow
14,Brooklyn,Bay Ridge,Yellow
15,Queens,Bay Terrace/Fort Totten,Yellow
16,Queens,Bayside,Yellow
17,Brooklyn,Bedford,Yellow
18,Bronx,Bedford Park,Yellow
19,Queens,Bellerose,Yellow
20,Bronx,Belmont,Yellow
21,Brooklyn,Bensonhurst East,Yellow
22,Brooklyn,Bensonhurst West,Yellow
23,Staten Island,Bloomfield/Emerson Hill,Yellow
24,Manhattan,Bloomingdale,Yellow
25,Brooklyn,Boerum Hill,Yellow
26,Brooklyn,Borough Park,Yellow
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Yellow
28,Queens,Briarwood/Jamaica Hills,Yellow
29,Brooklyn,Brighton Beach,Yellow
30,Queens,Broad Channel,Yellow
31,Bronx,Bronx Park,Yellow
32,Bronx,Bronxdale,Yellow
33,Brooklyn,Brooklyn Heights,Yellow
34,Brooklyn,Brooklyn Navy Yard,Yellow
35,Brooklyn,Brownsville,Yellow
36,Brooklyn,Bushwick North,Yellow
37,Brooklyn,Bushwick South,Yellow
38,Queens,Cambria Heights,Yellow
39,Brooklyn,Canarsie,Yellow
40,Brooklyn,Carroll Gardens,Yellow
41,Manhattan,Central Harlem,Yellow
42,Manhattan,Central Harlem North,Yellow
43,Manhattan,Central Park,Yellow
44,Staten Island,Charleston/Tottenville,Yellow
45,Manhattan,Chinatown,Yellow
46,Bronx,City Island,Yellow
47,Bronx,Claremont/Bathgate,Yellow
48,Manhattan,Clinton East,Yellow
49,Brooklyn,Clinton Hill,Yellow
50,Manhattan,Clinton West,Yellow
51,Bronx,Co-Op City,Yellow
52,Brooklyn,Cobble Hill,Yellow
53,Queens,College Point,Yellow
54,Brooklyn,Columbia Street,Yellow
55,Brooklyn,Coney Island,Yellow
56,Queens,Corona,Yellow
56,Queens,Corona,Yellow
58,Bronx,Country Club,Yellow
59,Bronx,Crotona Park,Yellow
60,Bronx,Crotona Park East,Yellow
61,Brooklyn,Crown Heights North,Yellow
62,Brooklyn,Crown Heights South,Yellow
63,Brooklyn,Cypress Hills,Yellow
64,Queens,Douglaston,Yellow
65,Brooklyn,Downtown Brooklyn/MetroTech,Yellow
66,Brooklyn,DUMBO/Vinegar Hill,Yellow
67,Brooklyn,Dyker Heights,Yellow
68,Manhattan,East Chelsea,Yellow
69,Bronx,East Concourse/Concourse Village,Yellow
70,Queens,East Elmhurst,Yellow
71,Brooklyn,East Flatbush/Farragut,Yellow
72,Brooklyn,East Flatbush/Remsen Village,Yellow
73,Queens,East Flushing,Yellow
74,Manhattan,East Harlem North,Yellow
75,Manhattan,East Harlem South,Yellow
76,Brooklyn,East New York,Yellow
77,Brooklyn,East New York/Pennsylvania Avenue,Yellow
78,Bronx,East Tremont,Yellow
79,Manhattan,East Village,Yellow
80,Brooklyn,East Williamsburg,Yellow
81,Bronx,Eastchester,Yellow
82,Queens,Elmhurst,Yellow
83,Queens,Elmhurst/Maspeth,Yellow
84,Staten Island,Eltingville/Annadale/Prince's Bay,Yellow
85,Brooklyn,Erasmus,Yellow
86,Queens,Far Rockaway,Yellow
87,Manhattan,Financial District North,Yellow
88,Manhattan,Financial District South,Yellow
89,Brooklyn,Flatbush/Ditmas Park,Yellow
90,Manhattan,Flatiron,Yellow
91,Brooklyn,Flatlands,Yellow
92,Queens,Flushing,Yellow
93,Queens,Flushing Meadows-Corona Park,Yellow
94,Bronx,Fordham South,Yellow
95,Queens,Forest Hills,Yellow
96,Queens,Forest Park/Highland Park,Yellow
97,Brooklyn,Fort Greene,Yellow
98,Queens,Fresh Meadows,Yellow
99,Staten Island,Freshkills Park,Yellow
100,Manhattan,Garment District,Yellow
101,Queens,Glen Oaks,Yellow
102,Queens,Glendale,Yellow
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow
106,Brooklyn,Gowanus,Yellow
107,Manhattan,Gramercy,Yellow
108,Brooklyn,Gravesend,Yellow
109,Staten Island,Great Kills,Yellow
110,Staten Island,Great Kills Park,Yellow
111,Brooklyn,Green-Wood Cemetery,Yellow
112,Brooklyn,Greenpoint,Yellow
113,Manhattan,Greenwich Village North,Yellow
114,Manhattan,Greenwich Village South,Yellow
115,Staten Island,Grymes Hill/Clifton,Yellow
116,Manhattan,Hamilton Heights,Yellow
117,Queens,Hammels/Arverne,Yellow
118,Staten Island,Heartland Village/Todt Hill,Yellow
119,Bronx,Highbridge,Yellow
120,Manhattan,Highbridge Park,Yellow
121,Queens,Hillcrest/Pomonok,Yellow
122,Queens,Hollis,Yellow
123,Brooklyn,Homecrest,Yellow
124,Queens,Howard Beach,Yellow
125,Manhattan,Hudson Sq,Yellow
126,Bronx,Hunts Point,Yellow
127,Manhattan,Inwood,Yellow
128,Manhattan,Inwood Hill Park,Yellow
129,Queens,Jackson Heights,Yellow
130,Queens,Jamaica,Yellow
131,Queens,Jamaica Estates,Yellow
132,Queens,JFK Airport,Yellow
133,Brooklyn,Kensington,Yellow
134,Queens,Kew Gardens,Yellow
135,Queens,Kew Gardens Hills,Yellow
136,Bronx,Kingsbridge Heights,Yellow
137,Manhattan,Kips Bay,Yellow
138,Queens,LaGuardia Airport,Yellow
139,Queens,Laurelton,Yellow
140,Manhattan,Lenox Hill East,Yellow
141,Manhattan,Lenox Hill West,Yellow
142,Manhattan,Lincoln Square East,Yellow
143,Manhattan,Lincoln Square West,Yellow
144,Manhattan,Little Italy/NoLiTa,Yellow
145,Queens,Long Island City/Hunters Point,Yellow
146,Queens,Long Island City/Queens Plaza,Yellow
147,Bronx,Longwood,Yellow
148,Manhattan,Lower East Side,Yellow
149,Brooklyn,Madison,Yellow
150,Brooklyn,Manhattan Beach,Yellow
151,Manhattan,Manhattan Valley,Yellow
152,Manhattan,Manhattanville,Yellow
153,Manhattan,Marble Hill,Yellow
154,Brooklyn,Marine Park/Floyd Bennett Field,Yellow
155,Brooklyn,Marine Park/Mill Basin,Yellow
156,Staten Island,Mariners Harbor,Yellow
157,Queens,Maspeth,Yellow
158,Manhattan,Meatpacking/West Village West,Yellow
159,Bronx,Melrose South,Yellow
160,Queens,Middle Village,Yellow
161,Manhattan,Midtown Center,Yellow
162,Manhattan,Midtown East,Yellow
163,Manhattan,Midtown North,Yellow
164,Manhattan,Midtown South,Yellow
165,Brooklyn,Midwood,Yellow
166,Manhattan,Morningside Heights,Yellow
167,Bronx,Morrisania/Melrose,Yellow
168,Bronx,Mott Haven/Port Morris,Yellow
169,Bronx,Mount Hope,Yellow
170,Manhattan,Murray Hill,Yellow
171,Queens,Murray Hill-Queens,Yellow
172,Staten Island,New Dorp/Midland Beach,Yellow
173,Queens,North Corona,Yellow
174,Bronx,Norwood,Yellow
175,Queens,Oakland Gardens,Yellow
176,Staten Island,Oakwood,Yellow
177,Brooklyn,Ocean Hill,Yellow
178,Brooklyn,Ocean Parkway South,Yellow
179,Queens,Old Astoria,Yellow
180,Queens,Ozone Park,Yellow
181,Brooklyn,Park Slope,Yellow
182,Bronx,Parkchester,Yellow
183,Bronx,Pelham Bay,Yellow
184,Bronx,Pelham Bay Park,Yellow
185,Bronx,Pelham Parkway,Yellow
186,Manhattan,Penn Station/Madison Sq West,Yellow
187,Staten Island,Port Richmond,Yellow
188,Brooklyn,Prospect-Lefferts Gardens,Yellow
189,Brooklyn,Prospect Heights,Yellow
190,Brooklyn,Prospect Park,Yellow
191,Queens,Queens Village,Yellow
192,Queens,Queensboro Hill,Yellow
193,Queens,Queensbridge/Ravenswood,Yellow
194,Manhattan,Randalls Island,Yellow
195,Brooklyn,Red Hook,Yellow
196,Queens,Rego Park,Yellow
197,Queens,Richmond Hill,Yellow
198,Queens,Ridgewood,Yellow
199,Bronx,Rikers Island,Yellow
200,Bronx,Riverdale/North Riverdale/Fieldston,Yellow
201,Queens,Rockaway Park,Yellow
202,Manhattan,Roosevelt Island,Yellow
203,Queens,Rosedale,Yellow
204,Staten Island,Rossville/Woodrow,Yellow
205,Queens,Saint Albans,Yellow
206,Staten Island,Saint George/New Brighton,Yellow
207,Queens,Saint Michaels Cemetery/Woodside,Yellow
208,Bronx,Schuylerville/Edgewater Park,Yellow
209,Manhattan,Seaport,Yellow
210,Brooklyn,Sheepshead Bay,Yellow
211,Manhattan,SoHo,Yellow
212,Bronx,Soundview/Bruckner,Yellow
213,Bronx,Soundview/Castle Hill,Yellow
214,Staten Island,South Beach/Dongan Hills,Yellow
215,Queens,South Jamaica,Yellow
216,Queens,South Ozone Park,Yellow
217,Brooklyn,South Williamsburg,Yellow
218,Queens,Springfield Gardens North,Yellow
219,Queens,Springfield Gardens South,Yellow
220,Bronx,Spuyten Duyvil/Kingsbridge,Yellow
221,Staten Island,Stapleton,Yellow
222,Brooklyn,Starrett City,Yellow
223,Queens,Steinway,Yellow
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow
225,Brooklyn,Stuyvesant Heights,Yellow
226,Queens,Sunnyside,Yellow
227,Brooklyn,Sunset Park East,Yellow
228,Brooklyn,Sunset Park West,Yellow
229,Manhattan,Sutton Place/Turtle Bay North,Yellow
230,Manhattan,Times Sq/Theatre District,Yellow
231,Manhattan,TriBeCa/Civic Center,Yellow
232,Manhattan,Two Bridges/Seward Park,Yellow
233,Manhattan,UN/Turtle Bay South,Yellow
234,Manhattan,Union Sq,Yellow
235,Bronx,University Heights/Morris Heights,Yellow
236,Manhattan,Upper East Side North,Yellow
237,Manhattan,Upper East Side South,Yellow
238,Manhattan,Upper West Side North,Yellow
239,Manhattan,Upper West Side South,Yellow
240,Bronx,Van Cortlandt Park,Yellow
241,Bronx,Van Cortlandt Village,Yellow
242,Bronx,Van Nest/Morris Park,Yellow
243,Manhattan,Washington Heights North,Yellow
244,Manhattan,Washington Heights South,Yellow
245,Staten Island,West Brighton,Yellow
246,Manhattan,West Chelsea/Hudson Yards,Yellow
247,Bronx,West Concourse,Yellow
248,Bronx,West Farms/Bronx River,Yellow
249,Manhattan,West Village,Yellow
250,Bronx,Westchester Village/Unionport,Yellow
251,Staten Island,Westerleigh,Yellow
252,Queens,Whitestone,Yellow
253,Queens,Willets Point,Yellow
254,Bronx,Williamsbridge/Olinville,Yellow
255,Brooklyn,Williamsburg (North Side),Yellow
256,Brooklyn,Williamsburg (South Side),Yellow
257,Brooklyn,Windsor Terrace,Yellow
258,Queens,Woodhaven,Yellow
259,Bronx,Woodlawn/Wakefield,Yellow
260,Queens,Woodside,Yellow
261,Manhattan,World Trade Center,Yellow
262,Manhattan,Yorkville East,Yellow
263,Manhattan,Yorkville West,Yellow
